schemeName,2018,2019,2020,2021,2022,2023,2024
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Direct Plan-Growth,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Regular Plan-Growth,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan -Direct - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan -Regular - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Direct Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Direct Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Corporate Bond Fund - Discipline Advantage Plan,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Credit Risk Fund - Direct - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Bonus,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Credit Risk Fund - Regular - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Bonus,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1- Direct Plan- Bonus,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1- Direct Plan- Growth,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1- Regular Plan - Bonus,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1-Direct - IDCW,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1-Regular - IDCW,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1-Regular Plan- Growth,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
